date,temp_max,temp_min,rain,wind,humidity,pressure
2023-01-01,17.0,8.1,0.0,13.8,95,952.2
2023-01-02,14.0,8.6,13.9,11.9,94,952.3
2023-01-03,16.9,10.7,10.5,16.6,99,951.9
2023-01-04,19.1,10.9,4.7,34.7,100,947.1
2023-01-05,15.5,13.1,27.5,18.7,94,946.6
2023-01-06,14.1,10.3,24.8,19.1,95,948.7
2023-01-07,16.3,10.0,0.0,9.6,91,948.6
2023-01-08,16.6,10.1,0.0,17.3,95,947.9
2023-01-09,18.5,11.7,0.1,31.0,94,945.4
2023-01-10,16.9,8.6,4.2,28.2,90,947.0
2023-01-11,11.2,7.0,0.0,20.5,93,950.8
2023-01-12,13.1,8.2,0.6,12.5,87,949.3
2023-01-13,15.8,7.1,3.0,20.2,92,947.3
2023-01-14,17.0,9.4,0.7,28.7,93,946.0
2023-01-15,20.6,12.6,2.7,15.7,96,945.9
2023-01-16,19.8,11.2,0.0,25.9,100,944.7
2023-01-17,20.1,10.5,0.0,30.8,96,944.1
2023-01-18,15.2,7.8,0.0,22.3,94,948.7
2023-01-19,15.8,6.3,0.0,17.6,90,949.8
2023-01-20,16.2,5.9,0.0,10.2,93,948.0
2023-01-21,17.9,7.6,0.0,15.6,91,946.7
2023-01-22,19.5,8.7,0.0,21.9,86,945.2
2023-01-23,17.8,9.2,0.9,17.0,89,945.8
2023-01-24,18.3,9.9,0.0,22.7,96,945.4
2023-01-25,15.1,9.8,4.1,19.3,98,944.1
2023-01-26,17.4,10.4,1.7,18.7,100,944.7
2023-01-27,15.6,7.7,0.0,15.0,97,947.4
2023-01-28,15.4,5.9,0.0,10.0,92,947.9
2023-01-29,20.0,6.9,0.0,19.2,87,944.4
2023-01-30,22.4,9.2,0.0,19.7,82,942.3
2023-01-31,25.6,10.9,0.0,23.3,70,939.8
2023-02-01,22.7,14.1,0.0,27.8,83,940.8
2023-02-02,23.1,12.1,0.2,20.2,89,943.4
2023-02-03,17.9,8.8,0.0,20.6,88,948.3
2023-02-04,19.8,7.5,0.0,23.1,79,945.2
2023-02-05,25.1,10.8,0.0,25.2,62,942.6
2023-02-06,29.0,14.6,0.0,30.3,56,941.1
2023-02-07,25.3,14.6,0.0,26.7,49,941.3
2023-02-08,22.1,10.2,0.0,15.0,60,944.3
2023-02-09,18.0,8.8,0.0,17.5,59,948.9
2023-02-10,18.3,7.2,0.0,21.0,54,949.1
2023-02-11,22.9,10.0,0.0,31.0,43,946.4
2023-02-12,29.5,13.4,0.0,25.1,50,944.1
2023-02-13,24.2,12.6,0.0,23.1,68,945.1
2023-02-14,23.5,9.5,0.0,21.1,78,942.6
2023-02-15,28.4,11.9,0.0,20.4,62,939.5
2023-02-16,18.9,10.1,0.0,29.7,79,946.2
2023-02-17,17.6,8.7,0.0,27.6,57,950.7
2023-02-18,18.2,7.9,0.0,23.5,43,951.9
2023-02-19,19.6,7.7,0.0,15.8,38,951.3
2023-02-20,21.9,8.4,0.0,10.7,32,949.1
2023-02-21,27.2,10.5,0.0,16.1,28,945.2
2023-02-22,29.0,14.1,0.0,18.8,25,943.2
2023-02-23,30.2,15.4,0.0,25.3,23,939.8
2023-02-24,28.2,17.0,0.0,18.4,32,940.4
2023-02-25,28.9,15.1,0.0,23.9,41,943.0
2023-02-26,30.5,16.6,0.0,16.7,36,943.5
2023-02-27,31.0,17.6,0.0,28.8,56,944.9
2023-02-28,26.4,15.1,0.0,22.7,72,947.1
2023-03-01,25.0,16.4,0.1,17.4,51,946.9
2023-03-02,27.0,14.1,0.0,16.4,45,946.6
2023-03-03,28.8,14.6,0.0,24.5,40,947.5
2023-03-04,31.9,16.9,0.0,21.6,32,948.0
2023-03-05,32.7,17.9,0.0,21.4,31,948.2
2023-03-06,32.2,19.4,0.0,29.7,24,946.2
2023-03-07,32.2,19.9,0.0,33.1,25,943.4
2023-03-08,32.2,19.8,0.0,35.1,23,941.8
2023-03-09,34.0,19.1,0.0,29.9,35,940.3
2023-03-10,27.5,16.4,0.3,33.4,76,942.6
2023-03-11,25.6,14.8,0.0,22.7,84,944.8
2023-03-12,26.6,16.7,0.3,29.8,69,942.2
2023-03-13,25.4,16.6,1.9,25.7,92,940.7
2023-03-14,27.0,16.2,0.3,18.2,98,940.5
2023-03-15,29.1,18.4,0.1,27.7,93,939.1
2023-03-16,26.4,15.8,0.0,20.7,68,941.9
2023-03-17,26.4,14.1,0.0,16.3,78,943.4
2023-03-18,29.9,15.8,0.1,23.9,53,941.5
2023-03-19,29.9,17.4,0.0,36.4,66,939.4
2023-03-20,30.0,14.1,0.0,24.2,45,936.3
2023-03-21,25.1,14.1,0.0,26.6,41,936.9
2023-03-22,25.6,12.7,0.0,22.8,42,940.0
2023-03-23,26.3,13.1,0.0,12.4,42,942.2
2023-03-24,26.9,15.3,0.0,21.2,35,942.3
2023-03-25,31.4,15.6,0.0,33.2,38,940.0
2023-03-26,25.1,17.0,2.5,31.3,80,938.1
2023-03-27,27.1,13.6,0.0,20.0,94,939.7
2023-03-28,27.5,15.6,0.0,15.0,67,943.3
2023-03-29,27.8,14.7,0.0,14.7,40,944.6
2023-03-30,31.9,16.1,0.0,28.7,41,941.5
2023-03-31,33.6,19.5,0.0,37.0,30,938.6
2023-04-01,23.4,14.1,0.0,31.0,35,943.5
2023-04-02,23.5,12.9,0.0,21.2,24,944.4
2023-04-03,25.4,11.4,0.0,14.9,24,944.4
2023-04-04,28.5,14.3,0.0,12.2,25,944.5
2023-04-05,29.8,16.1,0.0,11.7,24,943.3
2023-04-06,33.3,17.5,0.0,14.8,22,940.8
2023-04-07,32.2,20.5,0.0,34.5,35,943.3
2023-04-08,28.4,19.9,0.9,26.2,47,946.8
2023-04-09,31.5,16.3,0.0,18.3,56,946.5
2023-04-10,31.4,18.0,0.0,31.7,47,943.1
2023-04-11,32.2,19.0,7.6,29.3,72,941.2
